Season,Drivers Champion
2020,Lewis Hamilton
2019,Lewis Hamilton
2018,Lewis Hamilton
2017,Lewis Hamilton
2016,Nico Rosberg
2015,Lewis Hamilton
2014,Lewis Hamilton
2013,Sebastian Vettel
2012,Sebastian Vettel
2011,Sebastian Vettel
2010,Sebastian Vettel
2009,Jenson Button
2008,Lewis Hamilton
2007,Kimi Räikkönen
2006,Fernando Alonso
2005,Fernando Alonso
2004,Michael Schumacher
2003,Michael Schumacher
2002,Michael Schumacher
2001,Michael Schumacher
2000,Michael Schumacher
1999,Mika Häkkinen
1998,Mika Häkkinen
1997,Jacques Villeneuve
1996,Damon Hill
1995,Michael Schumacher
1994,Michael Schumacher
1993,Alain Prost
1992,Nigel Mansell
1991,Ayrton Senna
1990,Ayrton Senna
1989,Alain Prost
1988,Ayrton Senna
1987,Nelson Piquet
1986,Alain Prost
1985,Alain Prost
1984,Niki Lauda
1983,Nelson Piquet
1982,Keke Rosberg
1981,Nelson Piquet
1980,Alan Jones
1979,Jody Scheckter
1978,Mario Andretti
1977,Niki Lauda
1976,James Hunt
1975,Niki Lauda
1974,Emerson Fittipaldi
1973,Jackie Stewart
1972,Emerson Fittipaldi
1971,Jackie Stewart
1970,Jochen Rindt
1969,Jackie Stewart
1968,Graham Hill
1967,Denny Hulme
1966,Jack Brabham
1965,Jim Clark
1964,John Surtees
1963,Jim Clark
1962,Graham Hill
1961,Phil Hill
1960,Jack Brabham
1959,Jack Brabham
1958,Mike Hawthorn
1957,Juan Fangio
1956,Juan Fangio
1955,Juan Fangio
1954,Juan Fangio
1953,Alberto Ascari
1952,Alberto Ascari
1951,Juan Fangio
1950,Nino Farina
